className	subject	property	object
http://www.w3.org/2004/02/skos/core#Concept	http://eurovoc.europa.eu/1843	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://www.w3.org/2004/02/skos/core#Concept
http://www.w3.org/2004/02/skos/core#Concept	http://eurovoc.europa.eu/1843	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://eurovoc.europa.eu/schema#ThesaurusConcept
http://www.w3.org/2004/02/skos/core#Concept	http://eurovoc.europa.eu/1843	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://www.w3.org/1999/02/22-rdf-syntax-ns#about
http://www.w3.org/2004/02/skos/core#Concept	http://eurovoc.europa.eu/1843	http://purl.org/dc/terms/created	1995-10-02
http://www.w3.org/2004/02/skos/core#Concept	http://eurovoc.europa.eu/1843	http://www.w3.org/2002/07/owl#versionInfo	n/a
http://www.w3.org/2004/02/skos/core#Concept	http://eurovoc.europa.eu/1843	http://www.w3.org/2004/02/skos/core#inScheme	http://eurovoc.europa.eu/100141
http://www.w3.org/2004/02/skos/core#Concept	http://eurovoc.europa.eu/1843	http://www.w3.org/2004/02/skos/core#inScheme	http://eurovoc.europa.eu/100280
http://www.w3.org/2004/02/skos/core#Concept	http://eurovoc.europa.eu/1843	http://www.w3.org/2004/02/skos/core#inScheme	http://eurovoc.europa.eu/100284
http://www.w3.org/2004/02/skos/core#Concept	http://eurovoc.europa.eu/1843	http://purl.org/dc/terms/identifier	1843
http://www.w3.org/2004/02/skos/core#Concept	http://eurovoc.europa.eu/1843	http://www.w3.org/2008/05/skos-xl#altLabel	http://eurovoc.europa.eu/461636
http://www.w3.org/2004/02/skos/core#Concept	http://eurovoc.europa.eu/1843	http://www.w3.org/2008/05/skos-xl#altLabel	http://eurovoc.europa.eu/223112
http://www.w3.org/2004/02/skos/core#Concept	http://eurovoc.europa.eu/1843	http://www.w3.org/2008/05/skos-xl#altLabel	http://eurovoc.europa.eu/501799
http://www.w3.org/2004/02/skos/core#Concept	http://eurovoc.europa.eu/1843	http://www.w3.org/2008/05/skos-xl#altLabel	http://eurovoc.europa.eu/114584
http://www.w3.org/2004/02/skos/core#Concept	http://eurovoc.europa.eu/1843	http://www.w3.org/2008/05/skos-xl#altLabel	http://eurovoc.europa.eu/464942
http://www.w3.org/2004/02/skos/core#Concept	http://eurovoc.europa.eu/1843	http://www.w3.org/2008/05/skos-xl#altLabel	http://eurovoc.europa.eu/464943
http://www.w3.org/2004/02/skos/core#Concept	http://eurovoc.europa.eu/1843	http://www.w3.org/2008/05/skos-xl#prefLabel	http://eurovoc.europa.eu/223111
http://www.w3.org/2004/02/skos/core#Concept	http://eurovoc.europa.eu/1843	http://www.w3.org/2008/05/skos-xl#prefLabel	http://eurovoc.europa.eu/335551
http://www.w3.org/2004/02/skos/core#Concept	http://eurovoc.europa.eu/1843	http://www.w3.org/2008/05/skos-xl#prefLabel	http://eurovoc.europa.eu/361945
http://www.w3.org/2004/02/skos/core#Concept	http://eurovoc.europa.eu/1843	http://www.w3.org/2008/05/skos-xl#prefLabel	http://eurovoc.europa.eu/313202
http://www.w3.org/2004/02/skos/core#Concept	http://eurovoc.europa.eu/1843	http://www.w3.org/2008/05/skos-xl#prefLabel	http://eurovoc.europa.eu/423621
http://www.w3.org/2004/02/skos/core#Concept	http://eurovoc.europa.eu/1843	http://www.w3.org/2008/05/skos-xl#prefLabel	http://eurovoc.europa.eu/193853
http://www.w3.org/2004/02/skos/core#Concept	http://eurovoc.europa.eu/1843	http://www.w3.org/2008/05/skos-xl#prefLabel	http://eurovoc.europa.eu/261627
http://www.w3.org/2004/02/skos/core#Concept	http://eurovoc.europa.eu/1843	http://www.w3.org/2008/05/skos-xl#prefLabel	http://eurovoc.europa.eu/327304
http://www.w3.org/2004/02/skos/core#Concept	http://eurovoc.europa.eu/1843	http://www.w3.org/2008/05/skos-xl#prefLabel	http://eurovoc.europa.eu/383353
http://www.w3.org/2004/02/skos/core#Concept	http://eurovoc.europa.eu/1843	http://www.w3.org/2008/05/skos-xl#prefLabel	http://eurovoc.europa.eu/431788
http://www.w3.org/2004/02/skos/core#Concept	http://eurovoc.europa.eu/1843	http://www.w3.org/2008/05/skos-xl#prefLabel	http://eurovoc.europa.eu/164360
http://www.w3.org/2004/02/skos/core#Concept	http://eurovoc.europa.eu/1843	http://www.w3.org/2008/05/skos-xl#prefLabel	http://eurovoc.europa.eu/275233
http://www.w3.org/2004/02/skos/core#Concept	http://eurovoc.europa.eu/1843	http://www.w3.org/2008/05/skos-xl#prefLabel	http://eurovoc.europa.eu/493105
http://www.w3.org/2004/02/skos/core#Concept	http://eurovoc.europa.eu/1843	http://www.w3.org/2008/05/skos-xl#prefLabel	http://eurovoc.europa.eu/289341
http://www.w3.org/2004/02/skos/core#Concept	http://eurovoc.europa.eu/1843	http://www.w3.org/2008/05/skos-xl#prefLabel	http://eurovoc.europa.eu/375205
http://www.w3.org/2004/02/skos/core#Concept	http://eurovoc.europa.eu/1843	http://www.w3.org/2008/05/skos-xl#prefLabel	http://eurovoc.europa.eu/114583
http://www.w3.org/2004/02/skos/core#Concept	http://eurovoc.europa.eu/1843	http://www.w3.org/2008/05/skos-xl#prefLabel	http://eurovoc.europa.eu/129747
http://www.w3.org/2004/02/skos/core#Concept	http://eurovoc.europa.eu/1843	http://www.w3.org/2008/05/skos-xl#prefLabel	http://eurovoc.europa.eu/237637
http://www.w3.org/2004/02/skos/core#Concept	http://eurovoc.europa.eu/1843	http://www.w3.org/2008/05/skos-xl#prefLabel	http://eurovoc.europa.eu/208246
http://www.w3.org/2004/02/skos/core#Concept	http://eurovoc.europa.eu/1843	http://www.w3.org/2008/05/skos-xl#prefLabel	http://eurovoc.europa.eu/305397
http://www.w3.org/2004/02/skos/core#Concept	http://eurovoc.europa.eu/1843	http://www.w3.org/2008/05/skos-xl#prefLabel	http://eurovoc.europa.eu/349375
http://www.w3.org/2004/02/skos/core#Concept	http://eurovoc.europa.eu/1843	http://www.w3.org/2008/05/skos-xl#prefLabel	http://eurovoc.europa.eu/180232
http://www.w3.org/2004/02/skos/core#Concept	http://eurovoc.europa.eu/1843	http://www.w3.org/2008/05/skos-xl#prefLabel	http://eurovoc.europa.eu/396408
http://www.w3.org/2004/02/skos/core#Concept	http://eurovoc.europa.eu/1843	http://www.w3.org/2008/05/skos-xl#prefLabel	http://eurovoc.europa.eu/464944
