attribute,dataType,count,uniques,minValue,maxValue,valuesRange,attribute_type,description
rcn,int64,28145,28145,193157,228063,193157 to 228063,identifier,Project Record Control Number
id,int64,28145,28145,115797,101003403,115797 to 101003403,identifier,Project identifier
acronym,object,28145,26455,1-SWARM,zelig,1-SWARM to zelig,info,Project acronym
status,object,28145,3,CLOSED,TERMINATED,"SIGNED, CLOSED, TERMINATED",info,Project status
programme,object,28145,374,H2020-EC,H2020-Euratom-1.8.;H2020-Euratom-1.4.;H2020-Euratom-1.3.;H2020-Euratom-1.1.,H2020-EC to H2020-Euratom-1.8.;H,cross-reference,Project assigned programme(s)
topics,object,28145,2808,ALTFI-01-2017,YOUNG-5b-2014,ALTFI-01-2017 to YOUNG-5b-2014,cross-reference,Project assigned topic(s)
frameworkProgramme,object,28145,1,H2020,H2020,H2020,info,Framework under which the project is funded
title,object,28145,27914,"""""""Investigating autophagy enhancement as a therapeutic approach for the treatment of Rett syndrome.""""""",“World’s first techno-economic viable recycling technology for waste woodboards”,"""""""Investigating aut to “World’s first techn",info,Project title
startDate,object,28139,756,2014-01-01,2021-09-01,2014-01-01 to 2021-09-01,info,Project start date
endDate,datetime64[ns],28124,1193,2014-09-3,2026-12-31,2014-09-3 to 2026-12-31,info,Project end date
projectUrl,object,14174,13905,http://1ot.mobi/,https://zornplus.si/projects/,from http://1ot.mobi/ to https://zornplus.si/,info,Project website URL
