rcn,code,title,shortTitle,language
664225,H2020-EU.2.3.1.," Mainstreaming SME support, especially through a dedicated instrument",Mainstreaming SME support,en
664481,H2020-EU.4.,SPREADING EXCELLENCE AND WIDENING PARTICIPATION,Spreading excellence and widening participation,en
664435,H2020-EU.3.6.,"SOCIETAL CHALLENGES - Europe In A Changing World - Inclusive, Innovative And Reflective Societies","Inclusive, innovative and reflective societies",en
664333,H2020-EU.3.3.2.1.,Develop the full potential of wind energy,,en
664269,H2020-EU.3.1.5.1.,Improving halth information and better use of health data,,en
664231,H2020-EU.2.3.2.2.,Enhancing the innovation capacity of SMEs,Enhancing the innovation capacity of SMEs,en
664129,H2020-EU.1.4.1.3.,"Development, deployment and operation of ICT-based e-infrastructures",,en
664127,H2020-EU.1.4.1.2.,Integrating and opening existing national and regional  research infrastructures of European interest,,en
664125,H2020-EU.1.4.1.1.,Developing new world-class research infrastructures,,en
664475,H2020-EU.3.7.6.,"Ensure privacy and freedom, including in the Internet and enhance the societal, legal and ethical understanding of all areas of security, risk and management",,en
664259,H2020-EU.3.1.3.2.,Transferring knowledge to clinical practice and scalable innovation actions,,en
664357,H2020-EU.3.4.,"SOCIETAL CHALLENGES - Smart, Green And Integrated Transport",Transport,en
664341,H2020-EU.3.3.3.,Alternative fuels and mobile energy sources,Alternative fuels and mobile energy sources,en
664209,H2020-EU.2.1.6.1.,"Enabling European competitiveness, non-dependence and innovation of the European space sector","Competitiveness, non-dependence and innovation",en
664207,H2020-EU.2.1.6.,INDUSTRIAL LEADERSHIP - Leadership in enabling and industrial technologies – Space,Space,en
664143,H2020-EU.2.,PRIORITY 'Industrial leadership',Industrial Leadership,en
664113,H2020-EU.1.3.2.,Nurturing excellence by means of cross-border and cross-sector mobility,MSCA Mobility,en
664283,H2020-EU.3.2.1.,Sustainable agriculture and forestry,Sustainable agriculture and forestry,en
664247,H2020-EU.3.1.2.,Preventing disease,,en
664477,H2020-EU.3.7.7.,"Enhance stadardisation and interoperability of systems, including for emergency purposes",,en
664439,H2020-EU.3.6.1.1.,"The mechanisms to promote smart, sustainable and inclusive growth",,en
664391,H2020-EU.3.5.1.,Fighting and adapting to climate change,Fighting and adapting to climate change,en
664351,H2020-EU.3.3.5.,New knowledge and technologies,New knowledge and technologies,en
664345,H2020-EU.3.3.3.2.,Reducing time to market for hydrogen and fuel cells technologies,,en
664281,H2020-EU.3.2.,"SOCIETAL CHALLENGES - Food security, sustainable agriculture and forestry, marine, maritime and inland water research, and the bioeconomy","Food, agriculture, forestry, marine research and bioeconomy",en
664273,H2020-EU.3.1.5.3.,Using in-silico medicine for improving disease management and prediction,,en
664255,H2020-EU.3.1.3.,Treating and managing disease,,en
664201,H2020-EU.2.1.5.2.,Technologies enabling energy-efficient systems and energy-efficient buildings with a low environmental impact,Technologies enabling energy-efficient systems and buildings,en
664145,H2020-EU.2.1.,INDUSTRIAL LEADERSHIP - Leadership in enabling and industrial technologies,Leadership in enabling and industrial technologies (LEIT),en
664115,H2020-EU.1.3.3.,Stimulating innovation by means of cross-fertilisation of knowledge,MSCA Knowledge,en
664103,H2020-EU.1.2.1.,FET Open,FET Open,en
664101,H2020-EU.1.2.,EXCELLENT SCIENCE - Future and Emerging Technologies (FET),Future and Emerging Technologies (FET),en
664099,H2020-EU.1.1.,EXCELLENT SCIENCE - European Research Council (ERC),European Research Council (ERC),en
664505,H2020-EU.5.f.,"Develop the governance for the advancement of responsible research and innovation by all stakeholders, which is sensitive to society needs and demands and promote an ethics framework for research and innovation",,en
664469,H2020-EU.3.7.3.,Strengthen security through border management,,en
664441,H2020-EU.3.6.1.2.,"Trusted organisations, practices, services and policies that are necessary to build resilient, inclusive, participatory, open and creative societies in Europe, in particular taking into account migration, integration and demographic change",,en
664323,H2020-EU.3.3.1.,Reducing energy consumption and carbon foorpint by smart and sustainable use,Reducing energy consumption and carbon footprint,en
664275,H2020-EU.3.1.6.,Health care provision and integrated care,,en
664199,H2020-EU.2.1.5.1.,Technologies for Factories of the Future,Technologies for Factories of the Future,en
664117,H2020-EU.1.3.4.,Increasing structural impact by co-funding activities,MSCA Co-funding,en
664109,H2020-EU.1.3.,EXCELLENT SCIENCE - Marie Skłodowska-Curie Actions,Marie-Sklodowska-Curie Actions,en
664313,H2020-EU.3.2.4.3.,Supporting market development for bio-based products and processes,,en
704346,H2020-EU.3.4.5.10.,Thematic Topics,,en
665315,H2020-EU.3.2.6.,Bio-based Industries Joint Technology Initiative (BBI-JTI),,en
665343,H2020-EU.3.4.6.1.,"Reduce the production cost of fuel cell systems to be used in transport applications, while increasing their lifetime to levels which can compete with conventional technologies",,en
665349,H2020-EU.3.1.7.,Innovative Medicines Initiative 2 (IMI2),,en
665339,H2020-EU.3.3.8.3.,"Demonstrate on a large scale the feasibility of using hydrogen to support integration of renewable energy sources into the energy systems, including through its use as a competitive energy storage medium for electricity produced from renewable energy sources",,en
665404,H2020-EU.3.4.5.1.,IADP Large Passenger Aircraft,,en
664427,H2020-EU.3.5.5.,Developing comprehensive and sustained global environmental observation and information systems,Environmental observation and information systems,en
664407,H2020-EU.3.5.3.,Ensuring the sustainable supply of non-energy and non-agricultural raw materials,Supply of non-energy and non-agricultural raw materials,en
664339,H2020-EU.3.3.2.4.,"Develop geothermal, hydro, marine and other renewable energy options",,en
664299,H2020-EU.3.2.2.3.,A sustainable and competitive agri-food industry,,en
664295,H2020-EU.3.2.2.1.,Informed consumer choices,,en
664111,H2020-EU.1.3.1.,Fostering new skills by means of excellent initial training of researchers,MCSA Initial training,en
664105,H2020-EU.1.2.2.,FET Proactive,FET Proactive,en
664309,H2020-EU.3.2.4.,Sustainable and competitive bio-based industries and supporting the development of a European bioeconomy,Bio-based industries and supporting bio-economy,en
664291,H2020-EU.3.2.1.4.,Sustainable forestry,,en
664203,H2020-EU.2.1.5.3.,"Sustainable, resource-efficient and low-carbon technologies in energy-intensive process industries","Sustainable, resource-efficient and low-carbon technologies in energy-intensive process industries",en
664389,H2020-EU.3.5.,"SOCIETAL CHALLENGES - Climate action, Environment, Resource Efficiency and Raw Materials",Climate and environment,en
664337,H2020-EU.3.3.2.3.,"Develop competitive and environmentally safe technologies for CO2 capture, transport, storage and re-use",,en
664335,H2020-EU.3.3.2.2.,"Develop efficient, reliable and cost-competitive solar energy systems",,en
664331,H2020-EU.3.3.2.,"Low-cost, low-carbon energy supply","Low-cost, low-carbon energy supply",en
664289,H2020-EU.3.2.1.3.,"Empowerment of rural areas, support to policies and rural innovation",,en
664223,H2020-EU.2.3.,INDUSTRIAL LEADERSHIP - Innovation In SMEs,Innovation in SMEs,en
664147,H2020-EU.2.1.1.,INDUSTRIAL LEADERSHIP - Leadership in enabling and industrial technologies - Information and Communication Technologies (ICT),Information and Communication Technologies,en
664519,H2020-Euratom-1.1.,Support safe operation of nuclear systems,,en
664463,H2020-EU.3.7.,Secure societies - Protecting freedom and security of Europe and its citizens,Secure societies,en
664349,H2020-EU.3.3.4.,"A single, smart European electricity grid","A single, smart European electricity grid",en
664311,H2020-EU.3.2.4.1.,Fostering the bio-economy for bio-based industries,,en
664293,H2020-EU.3.2.2.,Sustainable and competitive agri-food sector for a safe and healthy diet,Sustainable and competitive agri-food sector for a safe and healthy diet,en
664239,H2020-EU.3.1.1.,"Understanding health, wellbeing and disease",,en
664261,H2020-EU.3.1.4.,Active ageing and self-management of health,,en
664235,H2020-EU.3.,PRIORITY 'Societal challenges,Societal Challenges,en
665325,H2020-EU.2.1.1.7.,ECSEL,,en
664161,H2020-EU.2.1.2.,INDUSTRIAL LEADERSHIP - Leadership in enabling and industrial technologies – Nanotechnologies,Nanotechnologies,en
664171,H2020-EU.2.1.2.5.,"Developing and standardisation of capacity-enhancing techniques, measuring methods and equipment","Capacity-enhancing techniques, measuring methods and equipment",en
664173,H2020-EU.2.1.3.,INDUSTRIAL LEADERSHIP - Leadership in enabling and industrial technologies - Advanced materials,Advanced materials,en
664169,H2020-EU.2.1.2.4.,"Efficient and sustainable synthesis and manufacturing of nanomaterials, components and systems","Synthesis and manufacturing of nanomaterials, components and systems",en
664165,H2020-EU.2.1.2.2.,Ensuring the safe and sustainable development and application of nanotechnologies,Safe and sustainable nanotechnologies,en
665335,H2020-EU.3.3.8.1.,"Increase the electrical efficiency and the durability of the different fuel cells used for power production to levels which can compete with conventional technologies, while reducing costs",,en
