rcn,code,title,language
665159,FETOPEN-RIA-2014-2015,FET-Open research projects,en
664615,INFRAIA-1-2014-2015,Integrating and opening existing national and regional research infrastructures of European interest,en
664613,INFRADEV-4-2014-2015,Implementation and operation of cross-cutting services and solutions for clusters of ESFRI and other relevant research infrastructure initiatives,en
664700,EE-06-2015,Demand response in blocks of buildings,en
664574,SC5-02-2015,ERA for Climate Services,en
664553,MSCA-RISE-2015,Marie SkÅodowska-Curie Research and Innovation Staff Exchange (RISE),en
664990,INSO-1-2015,ICT-enabled open government,en
665086,DRS-14-2015,Critical Infrastructure Protection topic 3: Critical Infrastructure resilience indicator - analysis and development of methods for assessing resilience,en
700051,MSCA-ITN-2016,Innovative Training Networks,en
704413,MSCA-IF-2019,Individual Fellowships,en
700670,IoT-01-2016,Large Scale Pilots,en
700351,LCE-07-2016-2017,Developing the next generation technologies of renewable electricity and heating/cooling,en
700252,GV-03-2016,System and cost optimised hybridisation of road vehicles,en
700218,FTIPilot-01-2016,Fast Track to Innovation Pilot,en
700055,SPIRE-03-2016,Industrial technologies for the valorisation of European bio-resources into high added value process streams,en
700433,ICT-01-2016,Smart Cyber-Physical Systems,en
664846,LCE-02-2015,Developing the next generation technologies of renewable electricity and heating/cooling,en
664986,INT-10-2015,The European Union and integration challenges in the Balkans,en
664610,INFRADEV-1-2014,Design studies,en
664612,INFRADEV-3-2015,Individual implementation and operation of ESFRI projects,en
664845,LCE-02-2014,Developing the next generation technologies of renewable electricity and heating/cooling,en
664847,LCE-03-2014,Demonstration of renewable electricity and heating/cooling technologies,en
664752,BG-01-2015,Improving the preservation and sustainable exploitation of Atlantic marine ecosystems,en
664593,SC5-16-2014,Making Earth Observation and Monitoring Data usable for ecosystem modelling and services,en
704200,ERC-2019-POC,ERC Proof of Concept Grant,en
703139,FETOPEN-03-2018-2019-2020,FET Innovation Launchpad,en
704103,IBA-MSCA-SNLS-2019,MSCA Special Needs Allowance,en
700930,MSCA-IF-2016,Individual Fellowships,en
702209,BBI-2016-D06,Valorisation of the organic content of Municipal Solid Waste and contributing to the renewable circular economy,en
702068,BB-01-2016,Sustainability schemes for the bio-based economy,en
702201,BBI-2016-R08,Emerging technologies for conversion of the organic content of Municipal Solid Waste and improving waste-to-chemicals value chains,en
700267,BB-04-2016,"Intelligent solutions and tools in forest production systems, fostering a sustainable supply of quality wood for the growing bioeconomy",en
700467,ICT-14-2016-2017,Big Data PPP: cross-sectorial and cross-lingual data integration and experimentation,en
700261,JTI-CS2-2015-CFP02-LPA-01-05,Validation of aero-vibro-acoustic model on new aerodynamic configurations.,en
700161,JTI-CS2-2015-CFP02-LPA-03-06,Head Up System integration in next generation cockpits,en
700811,SC1-PM-04-2016,Networking and optimising the use of population and patient cohorts at EU level,en
699996,SMEInst-07-2016-2017,"Stimulating the innovation potential of SMEs for sustainable and competitive agriculture, forestry, agri-food and bio-based sectors",en
702836,INFRAIA-01-2018-2019,Integrating Activities for Advanced Communities,en
701736,ERC-2017-PoC,ERC-Proof of Concept,en
704226,LC-BAT-5-2019,Research and innovation for advanced Li-ion cells (generation 3b),en
704207,IMI2-2018-15-02,Blockchain Enabled Healthcare,en
704197,ERC-2019-SyG,ERC Synergy Grant,en
704198,ERC-2019-STG,ERC Starting Grant,en
704225,LC-BAT-1-2019,"Strongly improved, highly performant and safe all solid state batteries for electric vehicles (RIA)",en
703119,FETOPEN-01-2018-2019-2020,FET-Open Challenging Current Thinking,en
703859,ICT-05-2019,Application driven Photonics components,en
703170,MSCA-RISE-2018,Research and Innovation Staff Exchange,en
703228,MSCA-ITN-2019,Innovative Training Networks,en
703860,ICT-11-2018-2019,HPC and Big Data enabled Large-scale Test-beds and Applications,en
703805,SC1-DTH-01-2019,Big data and Artificial Intelligence for monitoring health status and quality of life after the cancer treatment,en
703654,IMI2-2018-15-06,Digital endpoints in neurodegenerative and immune-mediated diseases,en
703225,MSCA-COFUND-2019,"Co-funding of regional, national and international programmes",en
703315,WF-02-2019,Widening Fellowships,en
703111,SC1-DTH-07-2018,Exploiting the full potential of in-silico medicine research for personalised diagnostics and therapies in cloud-based environments,en
703635,IMI2-2018-15-03,Microenvironment imposed signatures in tissue and liquid biopsies in immune- mediated diseases,en
703834,MIGRATION-03-2019,Social and economic effects of migration in Europe and integration policies,en
703616,ERC-2019-COG,ERC Consolidator Grant,en
703180,CE-SC5-08-2018-2019-2020,Raw materials policy support actions for the circular economy,en
702838,ERC-2018-COG,ERC Consolidator Grant,en
702030,MSCA-IF-2017,Individual Fellowships,en
702104,SFS-34-2017,Innovative agri-food chains: unlocking the potential for competitiveness and sustainability,en
702705,EIC-SMEInst-2018-2020,SME instrument,en
702971,ICT-19-2019,Advanced 5G validation trials across multiple vertical industries,en
703052,DT-ART-01-2018,"Testing, validation and certification procedures for highly automated driving functions under various traffic scenarios based on pilot test data",en
702982,ICT-17-2018,5G End to End Facility,en
702961,ICT-07-2018,Electronic Smart Systems (ESS),en
702993,ICT-23-2019,EU-Taiwan 5G collaboration,en
703019,LC-MG-1-7-2019,Future propulsion and integration: towards a hybrid/electric aircraft (InCo flagship),en
702935,DT-SPIRE-06-2019,Digital technologies for improved performance in cognitive production plants (IA),en
703007,LC-MG-1-9-2019,Upgrading transport infrastructure in order to monitor noise and emissions,en
702870,CE-SFS-25-2018,Integrated system innovation in valorising urban biowaste,en
702921,DT-FOF-03-2018,Innovative manufacturing of opto-electrical parts (RIA),en
701840,DS-08-2017,"Cybersecurity PPP: Privacy, Data Protection, Digital Identities",en
701907,MSCA-RISE-2017,Research and Innovation Staff Exchange,en
701930,MG-8-4-2017,"Improving accessibility, inclusive mobility and equity: new tools and business models for public transport in prioritised areas",en
701897,ICT-30-2017,Photonics KET 2017,en
701902,ART-02-2016,Automation pilots for passenger cars,en
702040,ICT-08-2017,5G PPP Convergent Technologies,en
701801,NMBP-05-2017,Advanced materials and innovative design for improved functionality and aesthetics in high added value consumer goods,en
701764,EEB-05-2017,Development of near zero energy building renovation,en
702039,ICT-07-2017,5G PPP Research and Validation of critical technologies and systems,en
701788,SEC-20-BES-2016,Border Security: autonomous systems and control systems,en
702200,BBI-2016-R07,Biopolymers with advanced functionalities for high performance applications,en
702202,BBI-2016-R09,"Exploiting algae and other aquatic biomass for production of molecules for pharma, nutraceuticals, food additives and cosmetic applications",en
701923,MG-3.5-2016,Behavioural aspects for safer transport,en
701799,NMBP-20-2017,High-performance materials for optimizing carbon dioxide capture,en
701893,ICT-19-2017,Media and content convergence,en
700553,ICT-13-2016,Future Internet Experimentation - Building a European experimental Infrastructure,en
700498,GV-12-2016,ERA-NET Co-fund on electromobility,en
700445,NMBP-21-2016,ERA-NET on manufacturing technologies supporting industry and particularly SMEs in the global competition,en
700803,INFRAIA-01-2016-2017,Integrating Activities for Advanced Communities,en
700496,ART-06-2016,Coordination of activities in support of road automation,en
700786,SC1-PM-22-2016,Addressing the urgent research gaps against the Zika virus and other emerging threats in Latin America,en
700081,NMBP-08-2016,Affordable weight reduction of high-volume vehicles and components taking into account the entire life-cycle,en
700024,SMEInst-12-2016-2017,"New business models for inclusive, innovative and reflective societies",en
700813,SC1-PM-09-2016,New therapies for chronic diseases,en
700842,NMBP-11-2016,ERA-NET on Nanomedicine,en
700831,FETOPEN-01-2016-2017,FET-Open research and innovation actions,en
700814,SC1-PM-05-2016,The European Human Biomonitoring Initiative,en
700089,FCH-03.1-2015,Large scale demonstration of Hydrogen Refuelling Stations and FCEV road vehicles - including buses and on site electrolysis,en
700395,FETPROACT-01-2016,FET Proactive: emerging themes and communities,en
700383,ERC-2016-STG,ERC Starting Grant,en
665224,INNOSUP-3-2014,IPorta 2,en
665248,Environment,H2020-Adhoc-2014-20,en
665461,ERC-CoG-2015,ERC Consolidator Grant,en
665457,MSCA-ITN-2015-ETN,Marie SkÅodowska-Curie Innovative Training Networks (ITN-ETN),en
701899,ICT-32-2017,Startup Europe for Growth and Innovation Radar,en
700122,BBI.VC2.D2-2015,Innovative cellulose-based composite packaging solutions,en
700118,EEB-04-2016,New technologies and strategies for the development of pre-fabricated elements through the reuse and recycling of construction materials and structures,en
702126,INNOSUP-07-2017,Innovating SMEs - segmentation along lifecycle and sectors (analytical research activity),en
669216,ECSEL-15-2015,"Semicondutor Process, Equipment and Materials",en
665218,HCO-13-2015,ERA-NET:  Cardiovascular disease,en
665454,HCO-17-2015,Towards sustainability and globalisation of the Joint Programming Initiative on Neurodegenerative Diseases,en
665453,MG-1.10-2015,International cooperation in aeronautics with China,en
665121,BES-10-2015,Information management topic 1: Civilian humanitarian mission personnel tracking,en
664843,ISIB-12f-2015,Biomarkers for nutrition and health,en
665026,NMP-26-2014,Joint EU & MS activity on the next phase of research in support of regulation 'NANOREG II',en
665014,NMP-14-2015,ERA-NET on Materials (including Materials for Energy),en
664976,INT-01-2015,"Enhancing and focusing research and innovation cooperation with the Unionâs key international partner countries - proposals targeting Australia, USA, Brazil, South Africa, Ukraine",en
664918,MG-8.4a-2015,"Smart governance, network resilience and streamlined delivery of infrastructure innovation",en
