code,title,description,language
ABI,Biotechnologia rolna,,pl
ABI,Landwirtschaftliche Biotechnologie,,de
ABI,Biotechnologie agricole,,fr
ABI,Agricultural biotechnology,,en
ABI,Biotecnologia agricola,,it
ABI,Biotecnolog�a agr�cola,,es
AER,Technologia kosmiczna,Technologia kosmiczna,pl
AER,Luft- und Raumfahrttechnik,,de
AER,Technologie a�rospatiale,,fr
AER,Aerospace Technology,Aeronauticaltechnology; aircraft; avionics; space exploration and technology.,en
AER,Tecnologia aerospaziale,,it
AER,Tecnolog�a aeroespacial,,es
AGR,Rolnictwo,,pl
AGR,Landwirtschaft,,de
AGR,Agriculture,,fr
AGR,Agriculture,Livestock production;crops and crop production; managerial and economic aspects of agriculture; veterinary medicine; animal husbandry; control of weeds;pests and diseases of plants; land use; forestry; agro-technology; agro-industrial research.,en
AGR,Agricoltura,,it
AGR,Agricultura,,es
AUT,Automatyzacja,,pl
AUT,Automatisierung,,de
AUT,Automatisation,,fr
AUT,Automation,,en
AUT,Automazione,,it
AUT,Automatizaci�n,,es
BIF,Biopaliwa,,pl
BIF,Biobrennstoffe,,de
BIF,Biocarburants,,fr
BIF,Biofuels,,en
BIF,Biocarburanti,,it
BIF,Biocombustibles,,es
BIO,Biotechnologia,Biotechnologia,pl
BIO,Biotechnologie,,de
BIO,Biotechnologie,,fr
BIO,Biotechnology,Microbiology; cellular and molecular biology; genetic engineering; enzyme engineering; assessment of risk; applications of biotechnology in health;agriculture;food;industry and the environment.,en
BIO,Biotecnologia,,it
BIO,Biotecnolog�a,,es
BUS,Aspekty biznesowe,,pl
BUS,Businessaspekte,,de
BUS,Aspects commerciaux,,fr
BUS,Business aspects,,en
BUS,Aspetti commerciali,,it
BUS,Aspectos comerciales,,es
CCC,Zmiana klimatu i cykl w?glowy,,pl
CCC,Klimaforschung und Kohlenstoffkreislauf,,de
CCC,Recherche sur les changements climatiques et le cycle du carbone,,fr
CCC,Climate change and Carbon cycle research,,en
CCC,Cambiamento climatico e ricerca sul ciclo del carbonio,,it
CCC,Investigaci�n sobre el cambio clim�tico y el ciclo del carbono,,es
CLC,Technologie korzystne dla ?rodowiska pod wzgl?dem,,pl
CLC,Saubere Kohletechnologien,,de
CLC,Technologies de charbon propre,,fr
CLC,Clean coal technologies,,en
CLC,Tecnologie pulite del carbone,,it
CLC,Tecnolog�as limpias del carb�n,,es
CON,Budownictwo,Budownictwo,pl
CON,Bautechnik,,de
CON,Technologie de la construction,,fr
CON,Construction Technology,Civil engineering; construction equipment; materials;components and methods; structural reliability; fire resistance; sound insulation; architectural design; building regulations; use of steel;wood;cork;concrete etc. for building purposes.,en
CON,Tecnologia di costruzione,,it
CON,Tecnolog�a de la construcci�n,,es
COO,Koordynacja i wsp�lpraca,Koordynacja i wspo?praca,pl
COO,Koordinierung und Zusammenarbeit,,de
COO,Coordination et coop�ration,,fr
COO,Coordination and Cooperation,Promotion of joint actions;the exchange of information;mobility;sharing of research resources;comparison exercises.,en
COO,Coordinamento e cooperazione,,it
COO,Coordinaci�n y Cooperaci�n,,es
EAR,Nauki o ziemi,Nauki o ziemi,pl
EAR,Geowissenschaften,,de
EAR,Sciences de la terre,,fr
EAR,Earth Sciences,Geology; mineralogy; geography; geophysics; geo-chemistry; soil science; cartography.,en
EAR,Scienze della Terra,,it
EAR,Ciencias de la Tierra,,es
ECO,Aspekty ekonomiczne,Aspekty ekonomiczne,pl
ECO,Wirtschaftliche Aspekte,,de
ECO,Aspects �conomiques,,fr
ECO,Economic Aspects,Economic sciences; economic analysis and theory; economic aspects of RTD.,en
ECO,Aspetti economici,,it
ECO,Aspectos econ�micos,,es
EDU,Edukacja i szkolenie,,pl
